TE_rte_subfamily,n_peaks,mean,median
AluY,3959,1.6940053786254732,0.608451655487187
HERVK_INT,200,3.3772949479020378,1.7690740459486438
HERVK_LTR,687,2.7082590421072776,0.9927316095841536
HERVL_INT,361,2.248783085172565,0.8281044084740924
HERVL_LTR,6094,2.534227729994276,0.9132182276551962
L1HS,277,0.9703178966790823,0.7595334505834777
L1PA2,467,0.7858113964380343,0.5660070032083072
L1PA3,568,1.0322853266315748,0.6067588168904074
L1PA4,352,1.2381964199850062,0.6134834198042689
L1PA5,290,1.233655316528687,0.680870157957749
L1PA6,295,1.691569789249367,0.591654166132501
Other,266748,3.6921459423164458,1.0311559042381908
SVA_A,137,1.0698122018512888,0.38822799562886756
SVA_B,188,0.5924714202831538,0.4250638444082039
SVA_C,179,0.7358672440244071,0.4169284135233418
SVA_D,941,0.619512098389985,0.40018374620531955
SVA_E,137,0.6845428950463333,0.41607067624597155
SVA_F,432,0.8403922241869998,0.6385306287300265
